 ,Problem, , ,Constructive algorithm, ,Local Search, ,GRASP, ,Known best solution or upper bound
Name,|V| or n,|E| or m,Randomized-1,Greedy-1,Semi-greedy-1,No. of iterations,Best Value,No of iterations,Best Value, ,
g1.rud,800,19176,9589,11235,11158,118,11393,10,11442,12078
g1.rud,800,19176,9590,11235,11147,117,11376,20,11406,12078
g1.rud,800,19176,9596,11235,11150,117,11382,50,11486,12078
g2.rud,800,19176,9600,11241,11158,119,11402,10,11476,12084
g2.rud,800,19176,9584,11241,11130,119,11378,20,11463,12084
g2.rud,800,19176,9596,11241,11134,124,11385,50,11474,12084
g3.rud,800,19176,9574,11217,11219,95,11408,10,11444,12077
g3.rud,800,19176,9567,11217,11125,118,11372,20,11459,12077
g3.rud,800,19176,9584,11217,11156,110,11378,50,11509,12077
g4.rud,800,19176,9588,11283,11165,112,11383,10,11416,Not Available
g4.rud,800,19176,9568,11283,11161,110,11386,20,11438,Not Available
g4.rud,800,19176,9599,11283,11153,114,11386,50,11467,Not Available
g5.rud,800,19176,9580,11321,11159,108,11380,10,11457,Not Available
g5.rud,800,19176,9595,11321,11170,112,11398,20,11476,Not Available
g5.rud,800,19176,9587,11321,11139,122,11388,50,11471,Not Available
g6.rud,800,19176,75,1799,1650,137,1934,10,2021,Not Available
g6.rud,800,19176,72,1799,1668,121,1918,20,1989,Not Available
g6.rud,800,19176,69,1799,1631,140,1916,50,1986,Not Available
g7.rud,800,19176,-93,1575,1442,156,1767,10,1807,Not Available
g7.rud,800,19176,-68,1575,1486,126,1759,20,1876,Not Available
g7.rud,800,19176,-63,1575,1490,127,1753,50,1861,Not Available
g8.rud,800,19176,-104,1599,1414,165,1767,10,1853,Not Available
g8.rud,800,19176,-74,1599,1474,131,1749,20,1882,Not Available
g8.rud,800,19176,-93,1599,1470,139,1762,50,1901,Not Available
g9.rud,800,19176,33,1619,1546,125,1809,10,1870,Not Available
g9.rud,800,19176,-28,1619,1527,132,1798,20,1916,Not Available
g9.rud,800,19176,-37,1619,1515,134,1794,50,1937,Not Available
g10.rud,800,19176,-88,1648,1479,118,1726,10,1794,Not Available
g10.rud,800,19176,-80,1648,1465,144,1757,20,1841,Not Available
g10.rud,800,19176,-76,1648,1467,131,1741,50,1813,Not Available
